# Time	Temperature [K]	Pressure [Pa]
1e-12	1410.04	2.05e+08
3e-12	1410.12	2.05e+08
7e-12	1410.27	2.05e+08
1.5e-11	1410.59	2.05e+08
3.1e-11	1411.21	2.05e+08
6.3e-11	1412.47	2.05e+08
1.27e-10	1414.99	2.05e+08
2.55e-10	1420.08	2.05e+08
5.11e-10	1430.47	2.05e+08
1.023e-09	1452.1	2.05e+08
2.047e-09	1499.07	2.05e+08
4.08872e-09	1610.14	2.05e+08
5.10958e-09	1676.13	2.05e+08
7.15131e-09	1833.92	2.05e+08
9.95842e-09	2117.81	2.05e+08
1.1362e-08	2290.53	2.05e+08
1.41691e-08	2680.65	2.05e+08
1.55727e-08	2881.84	2.05e+08
1.83798e-08	3246.22	2.05e+08
1.97833e-08	3394.97	2.05e+08
2.25904e-08	3615.73	2.05e+08
2.39939e-08	3691.79	2.05e+08
2.6801e-08	3792.92	2.05e+08
2.82046e-08	3824.94	2.05e+08
3.10117e-08	3865.53	2.05e+08
3.45369e-08	3890.52	2.05e+08
3.62996e-08	3897.14	2.05e+08
3.9193e-08	3903.5	2.05e+08
4.26103e-08	3907.11	2.05e+08
4.43189e-08	3908.07	2.05e+08
4.71603e-08	3909.01	2.05e+08
5.05323e-08	3909.56	2.05e+08
5.22184e-08	3909.7	2.05e+08
5.50526e-08	3909.85	2.05e+08
5.84306e-08	3909.93	2.05e+08
6.01196e-08	3909.95	2.05e+08
6.29998e-08	3909.98	2.05e+08
6.64804e-08	3909.99	2.05e+08
6.82208e-08	3909.99	2.05e+08
7.14015e-08	3910	2.05e+08
7.55316e-08	3910	2.05e+08
8.08443e-08	3910	2.05e+08
8.86174e-08	3910	2.05e+08
1.04013e-07	3910	2.05e+08
1.34804e-07	3910	2.05e+08
1.96387e-07	3910	2.05e+08
3.19552e-07	3910	2.05e+08
5.65821e-07	3910	2.05e+08
1.05836e-06	3910	2.05e+08
2.04247e-06	3910	2.05e+08
4.01068e-06	3910	2.05e+08
7.9471e-06	3910	2.05e+08
1.57575e-05	3910	2.05e+08
3.13782e-05	3910	2.05e+08
6.26196e-05	3910	2.05e+08
0.000125103	3910	2.05e+08
0.000250068	3910	2.05e+08
0.0005	3910	2.05e+08
0.001	3910	2.05e+08
